,col
519,"Normal, Combination, Oily "
520,"Normal, Combination, Oily "
521,"Normal, Dry, Combination, Oily "
522,"Normal, Dry, Combination, Oily "
523,"Normal, Dry, Combination, Oily "
524,"Normal, Combination, Oily "
525,"Normal, Combination, Oily "
526,"Normal, Dry, Combination, Oily "
527,"Normal, Dry, Combination, Oily "
528,"Normal, Dry, Combination, Oily "
529,"Normal, Dry, Combination, Oily "
530,"Normal, Dry, Combination, Oily "
531,"Normal, Combination, Oily "
532,"Normal, Dry, Combination, Oily "
533,"Normal, Dry, Combination "
534,"Normal, Dry, Combination, Oily "
535,"Normal, Dry, Combination, Oily "
536,"Normal, Dry, Combination, Oily "
537,"Combination, Oily "
538,"Normal, Dry, Combination, Oily "
539,"Normal, Dry, Combination, Oily "
540,"Normal, Dry, Combination, Oily "
541,"Combination, Oily "
542,"Normal, Dry, Combination, Oily "
543,"Combination, Oily "
544,"Normal, Combination, Oily "
545,"Normal, Dry, Combination, Oily "
546,"Normal, Dry, Combination, Oily "
547,"Normal, Dry, Combination, Oily "
548,"Normal, Dry, Combination, Oily "
549,"Combination, Oily "
550,"Normal, Dry, Combination, Oily "
551,"Normal, Dry, Combination, Oily "
552,"Normal, Dry, Combination, Oily "
553,"Normal, Dry, Combination, Oily "
554,"Normal, Dry, Combination, Oily "
555,"Normal, Dry, Combination "
556,"Combination, Oily "
557,"Normal, Dry, Combination, Oily "
558,"Normal, Combination, Oily "
559,"Normal, Dry, Combination, Oily "
560,"Normal, Dry, Combination, Oily "
561,"Normal, Dry, Combination, Oily "
562,"Normal, Combination, Oily "
563,"Normal, Dry, Combination, Oily "
564,"Normal, Combination, Oily "
565,"Normal, Dry, Combination, Oily "
566,"Normal, Dry, Combination, Oily "
567,"Normal, Dry, Combination, Oily "
568,"Normal, Dry, Combination, Oily "
569,"Normal, Dry, Combination, Oily "
570,"Normal, Dry, Combination, Oily "
571,"Normal, Combination, Oily "
572,"Normal, Dry, Combination, Oily "
573,"Normal, Dry, Combination, Oily "
574,"Normal, Dry, Combination, Oily "
575,"Normal, Dry, Combination, Oily "
576,"Normal, Dry, Combination, Oily "
577,"Normal, Combination, Oily "
578,"Normal, Combination, Oily "
579,"Normal, Dry, Combination, Oily "
580,"Normal, Dry, Combination, Oily "
581,"Normal, Dry, Combination, Oily "
582,"Normal, Dry, Combination, Oily "
583,"Normal, Dry, Combination, Oily "
584,"Normal, Dry, Combination, Oily "
585,Sensitive
586,Normal 
587,"Normal, Dry, Combination, Oily "
588,"Normal, Dry, Combination, Oily "
589,"Normal, Dry, Combination, Oily "
590,"Normal, Dry, Combination, Oily "
591,"Normal, Dry, Combination, Oily "
592,"Normal, Dry, Combination, Oily "
593,"Normal, Dry"
594,"Normal, Combination, Oily "
595,"Normal, Dry, Combination, Oily "
596,"Normal, Combination, Oily "
597,"Normal, Dry, Combination, Oily "
598,"Normal, Dry, Combination, Oily "
599,"Normal, Dry, Combination, Oily "
600,"Normal, Dry"
601,"Normal, Dry, Combination, Oily "
602,"Normal, Dry, Combination, Oily "
603,"Normal, Dry, Combination, Oily "
604,"Combination, Oily"
605,"Normal, Dry"
606,"Normal, Dry, Combination, Oily "
607,"Normal, Dry, Combination, Oily "
608,"Normal, Dry, Combination, Oily "
609,"Normal, Dry"
610,"Normal, Dry"
611,"Normal, Dry"
612,"Normal, Combination, Oily "
613,"Normal, Dry, Combination, Oily "
614,"Normal, Dry, Combination, Oily "
615,"Normal, Dry, Combination, Oily "
616,"Normal, Dry"
617,"Normal, Dry"
618,"Normal, Dry, Combination, Oily "
619,"Normal, Dry, Combination"
