,col
774,"Normal, Dry, Combination, and Oily "
775,"Normal, Dry, Combination, and Oily "
776,Normal and Dry
777,"Normal, Dry, Combination, and Oily "
778,"Normal, Dry, Combination, and Oily "
779,"Normal, Dry, Combination, and Oily "
780,"Normal, Dry, Combination, and Oily "
781,"Normal, Dry, Combination, and Oily"
782,"Normal, Dry, Combination, and Oily "
783,"Normal, Dry, Combination, and Oily "
784,"Normal, Dry, Combination, and Oily "
785,"Normal, Dry, Combination, and Oily "
786,"Normal, Dry, Combination, and Oily "
787,"Normal, Dry, Combination, and Oily "
788,"Normal, Dry, Combination, and Oily "
789,"Normal, Combination, and Oily"
790,"Normal, Dry, and Combination"
791,"Normal, Combination, and Oily "
